codigo,nome,creditos,turma,oferecidas_veteranos,oferecidas_calouros,vagas_ampliadas,ocupadas_veteranos,ocupadas_calouros,horarios,locais,professores
ADM01134,ADMINISTRAÇÃO E FINANÇAS,4,A,1,0,0,0,0,13:30,sala de aula 055 - Campus: Centro;,CARLA SIMONE RUPPENTHAL
MAT01355,ÁLGEBRA LINEAR I - A,4,A1,25,0,0,25,0,10:10; 10:10,Sala 101 - Campus: Vale                    ; Sala 101 - Campus: Vale,WAGNER DE OLIVEIRA CORTES
,,,B2,6,0,1,7,0,10:30; 10:30,Sala 102 - Campus: Vale                    ; Sala 102 - Campus: Vale,LEANDRO FARINA
,,,C2,24,0,0,12,0,13:30; 13:30,Sala 102 - Campus: Vale                    ; Sala 102 - Campus: Vale,LEANDRO FARINA
,,,D1,5,0,0,1,0,15:30; 15:30,Sala 101 - Campus: Vale                    ; Sala 101 - Campus: Vale,ALVERI ALVES SANT ANA
,,,D2,25,0,0,20,0,15:30; 15:30,Sala 102 - Campus: Vale                    ; Sala 102 - Campus: Vale,Thaisa Raupp Tamusiunas
INF01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,6,A,3,4,0,3,4,13:30; 13:30; 13:30,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 104 - PRÉDIO 43425 - Campus: Vale,MARCELO WALTER
,,,B,0,10,0,0,10,13:30; 13:30; 15:30,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 104 - PRÉDIO 43425 - Campus: Vale,MARCELO WALTER
,,,D,4,2,0,5,2,15:30; 15:30; 15:30,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; ABORATÓRIO DE ENSINO (INTRODUTÓRIAS) 103 - PRÉDIO 43425 - Campus: Vale,DENNIS GIOVANI BALREIRA
,,,E,2,4,0,3,5,13:30; 13:30; 13:30,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 104 - PRÉDIO 43425 - Campus: Vale,LUCAS MELLO SCHNORR
,,,F,6,2,0,5,2,13:30; 13:30; 15:30,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 104 - PRÉDIO 43425 - Campus: Vale,LUCAS MELLO SCHNORR
,,,G,6,6,0,9,6,15:30; 15:30; 13:30,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 102 - PRÉDIO 43425 - Campus: Vale,RENAN DE QUEIROZ MAFFEI
,,,H,10,0,0,4,0,15:30; 15:30; 15:30,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 102 - PRÉDIO 43425 - Campus: Vale,RENAN DE QUEIROZ MAFFEI
INF01017,APRENDIZADO DE MÁQUINA,4,U,20,0,0,16,0,10:30; 10:30,SALA DE AULA 111 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 111 - PRÉDIO 43425 - Campus: Vale,MARIANA RECAMONDE MENDOZA GUERREIRO
INF01108,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,4,A,33,0,0,33,0,10:30; 10:30,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,SERGIO LUIS CECHIN
,,,B,20,0,0,18,0,15:30; 15:30,SALA DE AULA 111 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 111 - PRÉDIO 43425 - Campus: Vale,MARCELO DE OLIVEIRA JOHANN
,,,C,20,0,0,20,0,10:30; 10:30,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,Mateus Grellert da Silva
INF01112,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II,4,A,25,0,0,25,0,13:30; 13:30,AUDITÓRIO 0 - Campus: Vale                    ; AUDITÓRIO 0 - Campus: Vale,Arthur Francisco Lorenzon
,,,B,25,0,0,9,0,15:30; 15:30,AUDITÓRIO 0 - Campus: Vale                    ; AUDITÓRIO 0 - Campus: Vale,JOAO CESAR NETTO
INF01191,ARQUITETURAS AVANÇADAS DE COMPUTADORES,4,U,10,0,0,10,0,10:10; 10:10,SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 114 - PRÉDIO 43425 - Campus: Vale,ANTONIO CARLOS SCHNEIDER BECK FILHO
INF01146,AVALIAÇÃO DE DESEMPENHO,4,U,10,0,0,14,0,10:30; 10:30,SALA DE AULA 113 - PRÉDIO 43425 - Campus: Vale                    ; SALA DE AULA 113 - PRÉDIO 43425 - Campus: Vale,LUCIANO PASCHOAL GASPARY
INF05018,BIOLOGIA COMPUTACIONAL,4,U,18,0,0,23,0,13:30; 13:30,Sala de Aula 106 -  43413 - Campus: Vale                    ; Sala de Aula 106 -  43413 - Campus: Vale,MARCIO DORN
INF01205,CAD PARA SISTEMAS DIGITAIS,4,U,15,0,0,0,0,13:30; 13:30,Sala de Aula 108 - 43413 - Campus: Vale                    ; Sala de Aula 108 - 43413 - Campus: Vale,ANDRE INACIO REIS
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,A1,6,19,0,7,19,10:10; 10:10; 10:10,Sala 101 - Campus: Vale                    ; Sala 101 - Campus: Vale                    ; Sala 101 - Campus: Vale,JOSE AFONSO BARRIONUEVO
,,,A2,5,0,3,7,0,10:10; 10:10; 10:10,Sala 103 - Campus: Vale                    ; Sala 103 - Campus: Vale                    ; Sala 103 - Campus: Vale,JOANA MOHR
,,,B2,7,1,0,15,1,10:30; 10:30; 10:30,stituto de Química - Sala de Aula - Campus: Vale                    ; stituto de Química - Sala de Aula - Campus: Vale                    ; stituto de Química - Sala de Aula - Campus: Vale,JOSE AFONSO BARRIONUEVO
,,,D2,18,7,0,16,8,15:30; 15:30; 15:30,Sala 102 - Campus: Vale                    ; Sala 102 - Campus: Vale                    ; Sala 102 - Campus: Vale,FLAVIA MALTA BRANCO
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,A1,59,0,0,52,0,10:10; 10:10; 10:10,Sala 102 - Campus: Vale                    ; Sala 102 - Campus: Vale                    ; Sala 102 - Campus: Vale,JACQUES AVELINE LOUREIRO DA SILVA
,,,A2,0,0,4,4,0,10:10; 10:10; 10:10,Sala 104 - Campus: Vale                    ; Sala 104 - Campus: Vale                    ; Sala 104 - Campus: Vale,VIRGINIA MARIA RODRIGUES
